name,handedness,height,weight,avg,HR,count,value,avg_mean,avg_HR,avg_handedness
Dick Davis,R,75,190,0.265,27,1,486,,,
Richie Scheinblum,B,73,180,0.263,13,1,487,,,
Ed Herrmann,L,73,195,0.24,80,1,488,,,
Mike Rochford,L,76,205,0,0,1,489,,,
Jeff Schneider,B,75,195,0,0,1,490,,,
Bob Molinaro,L,72,190,0.264,14,1,491,,,
Mike Hegan,L,73,188,0.242,53,1,492,,,
Mike Diaz,R,74,195,0.247,31,1,493,,,
Tim Foli,R,72,179,0.251,25,1,494,,,
Alan Knicely,R,72,190,0.213,12,1,495,,,
Tim Laudner,R,75,212,0.225,77,1,496,,,
Jose Morales,R,71,187,0.287,26,1,497,,,
Luis Encarnacion,R,70,178,0,0,1,498,,,
Rick Kreuger,R,74,185,0,0,1,499,,,
Juan Marichal,R,72,185,0.165,4,1,500,,,
Vida Blue,B,72,189,0.104,4,1,501,,,
Angel Moreno,L,69,165,0,0,1,502,,,
Roger Weaver,R,75,190,0,0,1,503,,,
Stan Papi,R,72,170,0.218,7,1,504,,,
Rob Wilfong,L,73,180,0.248,39,1,505,,,
Chris Knapp,R,77,195,0,0,1,506,,,
Steve Henderson,R,74,190,0.28,68,1,507,,,
Rob Picciolo,R,74,185,0.234,17,1,508,,,
Don Welchel,R,76,205,0,0,1,509,,,
Randy Wiles,L,73,185,0,0,1,510,,,
Roberto Pena,R,68,170,0.245,13,1,511,,,
Bob Dernier,R,72,160,0.255,23,1,512,,,
Bill Melton,R,74,200,0.253,160,1,513,,,
Albert Hall,B,71,155,0.251,5,1,514,,,
